Model,Dataset,IR,Source,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,GMean_mean,GMean_std,AUC_mean,AUC_std,MCC_mean,MCC_std,AUPRC_mean,AUPRC_std,IBA_mean,IBA_std,Kappa_mean,Kappa_std,Runtime_mean,Runtime_std
e_evrs,glass,-,keel,0.7209302325581395,0.0,0.7117446393762182,0.0,0.8095238095238094,0.0,0.7286002886002886,0.0,0.7872725666763027,0.0,0.9266025056254942,0.0,0.645089999967179,0.0,0.713529968699457,0.0,0.7740236292473567,0.0,0.6268980477223428,0.0,0.3369119999697432,0.0
adaboost_ad,glass,-,keel,0.6744186046511628,0.0,0.7592592592592592,0.0,0.7579365079365079,0.0,0.7483974358974358,0.0,0.7013801204789729,0.0,0.9235005017332604,0.0,0.5741896641387316,0.0,0.8259348996221739,0.0,0.7238624121423793,0.0,0.5625,0.0,0.006348299968522042,0.0
SPE,IR5_CWRU,IR5,bearing,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.38347860000794753,0.0
DeepSMOTE,IR5_CWRU,IR5,bearing,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.42091349995462224,0.0
DDPM,IR5_CWRU,IR5,bearing,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,16.701859800028615,0.0
DBCF,IR5_CWRU,IR5,bearing,0.9819819819819819,0.0,0.9930555555555556,0.0,0.9642857142857143,0.0,0.9772481040086674,0.0,0.9621954581957615,0.0,1.0,0.0,0.9678181484941493,0.0,0.9999999999999998,0.0,0.9550771528123445,0.0,0.9671013633669235,0.0,1.4273421000107192,0.0
DEAHS,IR5_CWRU,IR5,bearing,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.229406599944923,0.0
s_smote,IR5_CWRU,IR5,bearing,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,1.2255559000186622,0.0
scut,IR5_CWRU,IR5,bearing,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.16778170003090054,0.0
mdo,IR5_CWRU,IR5,bearing,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.05156389996409416,0.0
smom,IR5_CWRU,IR5,bearing,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.11914429999887943,0.0
soup,IR5_CWRU,IR5,bearing,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.06872179999481887,0.0
mc_rbo,IR5_CWRU,IR5,bearing,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09105469996575266,0.0
mc_ccr,IR5_CWRU,IR5,bearing,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.11849079997045919,0.0
